query,target,window,pred,gt,signed_score_pct,direction
Spike Count (Window),spiking,106,20,1,+90.5,over
Spike Count (Window),spiking,107,20,0,+100.0,over
Spike Count (Window),spiking,108,20,0,+100.0,over
Spike Count (Window),spiking,109,20,0,+100.0,over
Spike Count (Window),spiking,110,20,0,+100.0,over
Spike Count (Window),spiking,111,20,0,+100.0,over
Spike Count (Window),spiking,112,20,0,+100.0,over
Spike Count (Window),spiking,113,20,0,+100.0,over
Spike Count (Window),spiking,114,20,0,+100.0,over
Spike Count (Window),spiking,115,15,0,+100.0,over
Spike Count (Window),spiking,116,9,0,+100.0,over
Spike Count (Window),spiking,117,20,0,+100.0,over
Spike Count (Window),spiking,118,20,0,+100.0,over
Spike Count (Window),spiking,119,19,0,+100.0,over
Spike Count (Window),spiking,120,19,0,+100.0,over
Spike Count (Window),spiking,121,20,0,+100.0,over
Spike Count (Window),spiking,122,20,0,+100.0,over
Spike Count (Window),spiking,123,20,10,+33.3,over
Spike Count (Window),spiking,124,20,10,+33.3,over
Spike Count (Window),spiking,125,20,0,+100.0,over
Spike Count (Window),spiking,126,20,0,+100.0,over
Spike Count (Window),spiking,127,20,0,+100.0,over
Spike Count (Window),spiking,128,20,0,+100.0,over
Spike Count (Window),spiking,129,20,0,+100.0,over
Spike Count (Window),spiking,130,20,0,+100.0,over
Spike Count (Window),spiking,131,20,0,+100.0,over
Spike Count (Window),spiking,132,20,0,+100.0,over
Spike Count (Window),spiking,133,20,5,+60.0,over
Spike Count (Window),spiking,134,20,15,+14.3,over
Spike Count (Window),spiking,135,20,0,+100.0,over
Spike Count (Window),spiking,136,20,0,+100.0,over
Spike Count (Window),spiking,137,20,0,+100.0,over
Spike Count (Window),spiking,138,20,0,+100.0,over
Spike Count (Window),spiking,139,19,0,+100.0,over
Spike Count (Window),spiking,140,19,0,+100.0,over
Spike Count (Window),spiking,141,17,0,+100.0,over
Spike Count (Window),spiking,142,7,0,+100.0,over
Spike Count (Window),spiking,143,14,0,+100.0,over
Spike Count (Window),spiking,144,20,0,+100.0,over
Spike Count (Window),spiking,145,20,0,+100.0,over
Spike Count (Window),spiking,146,20,0,+100.0,over
Spike Count (Window),spiking,147,17,0,+100.0,over
Spike Count (Window),spiking,148,20,0,+100.0,over
Spike Count (Window),spiking,149,20,0,+100.0,over
Spike Count (Window),spiking,150,20,17,+8.1,over
Spike Count (Window),spiking,151,20,3,+73.9,over
Spike Count (Window),spiking,152,20,0,+100.0,over
Spike Count (Window),spiking,153,20,0,+100.0,over
Spike Count (Window),spiking,154,20,0,+100.0,over
Spike Count (Window),spiking,155,20,0,+100.0,over
Spike Count (Window),spiking,156,20,14,+17.6,over
Spike Count (Window),spiking,157,20,6,+53.8,over
Spike Count (Window),spiking,158,20,0,+100.0,over
Spike Count (Window),spiking,159,20,0,+100.0,over
Spike Count (Window),spiking,160,20,0,+100.0,over
Spike Count (Window),spiking,161,20,0,+100.0,over
Spike Count (Window),spiking,162,20,11,+29.0,over
Spike Count (Window),spiking,163,20,9,+37.9,over
Spike Count (Window),spiking,164,20,0,+100.0,over
Spike Count (Window),spiking,165,20,0,+100.0,over
Spike Count (Window),spiking,166,20,0,+100.0,over
Spike Count (Window),spiking,167,20,0,+100.0,over
Spike Count (Window),spiking,168,20,8,+42.9,over
Spike Count (Window),spiking,169,20,12,+25.0,over
Spike Count (Window),spiking,170,20,0,+100.0,over
Spike Count (Window),spiking,171,20,0,+100.0,over
Spike Count (Window),spiking,172,20,0,+100.0,over
Spike Count (Window),spiking,173,20,0,+100.0,over
Spike Count (Window),spiking,174,20,5,+60.0,over
Spike Count (Window),spiking,175,20,15,+14.3,over
Spike Count (Window),spiking,176,20,0,+100.0,over
Spike Count (Window),spiking,177,20,0,+100.0,over
Spike Count (Window),spiking,178,20,0,+100.0,over
Spike Count (Window),spiking,179,20,0,+100.0,over
Spike Count (Window),spiking,180,20,0,+100.0,over
Spike Count (Window),spiking,181,20,0,+100.0,over
Spike Count (Window),spiking,182,20,0,+100.0,over
Spike Count (Window),spiking,183,20,0,+100.0,over
Spike Count (Window),spiking,184,20,0,+100.0,over
Spike Count (Window),spiking,185,20,20,+0.0,exact
Spike Count (Window),spiking,186,20,0,+100.0,over
Spike Count (Window),spiking,187,20,0,+100.0,over
Spike Count (Window),spiking,188,20,0,+100.0,over
Spike Count (Window),spiking,189,20,0,+100.0,over
Spike Count (Window),spiking,190,20,0,+100.0,over
Spike Count (Window),spiking,191,20,0,+100.0,over
Spike Count (Window),spiking,192,20,0,+100.0,over
Spike Count (Window),spiking,193,20,0,+100.0,over
Spike Count (Window),spiking,194,20,0,+100.0,over
Spike Count (Window),spiking,195,20,0,+100.0,over
Spike Count (Window),spiking,196,20,0,+100.0,over
Spike Count (Window),spiking,197,20,14,+17.6,over
Spike Count (Window),spiking,198,20,6,+53.8,over
Spike Count (Window),spiking,199,20,0,+100.0,over
Set Count (Window),setting,0,2,10,-66.7,under
Set Count (Window),setting,1,2,10,-66.7,under
Set Count (Window),setting,2,2,0,+100.0,over
Set Count (Window),setting,3,1,0,+100.0,over
Set Count (Window),setting,4,1,8,-77.8,under
Set Count (Window),setting,5,2,12,-71.4,under
Set Count (Window),setting,6,0,0,+0.0,exact
Set Count (Window),setting,7,1,0,+100.0,over
Set Count (Window),setting,8,4,0,+100.0,over
